Test_ID,Test_Time,Step_Time,DateTime,Step_Index,Cycle_Index,Is_FC_Data,Current,Voltage,Charge_Capacity,Discharge_Capacity,Charge_Energy,Discharge_Energy,dV/dt,Internal_Resistance,AC_Impedance,ACI_Phase_Angle,state,cycle change,half cycle,Capacity,Time,full cycle,Test Time / s,Voltage / V,Current / A,Cycle Count / 1,Step Index / 1,Step Count / 1,Charging Capacity / Ah,Discharging Capacity / Ah
1,186882.143472725,14082.14347273236,45133.94774305555,2,1,0,8.6463268e-05,4.0421185,0.000338322945098,0.0,0.001337066908761,0.0,-6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000338305710257,186882.143472725,1.0,186882.143472725,4.0421185,8.6463268e-08,1.0,2,2,3.38305710257e-07,0.0
1,187002.1528595239,14202.1528595313,45133.94913194444,2,1,0,8.6498592e-05,4.0458078,0.000341206126689,0.0,0.001348726893368,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000341188891848,187002.1528595239,1.0,187002.1528595239,4.0458078,8.6498592e-08,1.0,2,2,3.41188891848e-07,0.0
1,187122.1622665117,14322.1622668613,45133.95052083334,2,1,0,8.6498592e-05,4.0494967,0.000344089371452,0.0,0.00136039687654,0.0,6.1416627e-05,0.0,0.0,0.0,0,False,1,0.00034407213661100003,187122.1622665117,1.0,187122.1622665117,4.0494967,8.6498592e-08,1.0,2,2,3.44072136611e-07,0.0
1,187242.1716721308,14442.17167213819,45133.95190972222,2,1,0,8.6498592e-05,4.0534935,0.000346972639635,0.0,0.001372078521953,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000346955404794,187242.1716721308,1.0,187242.1716721308,4.0534935,8.6498592e-08,1.0,2,2,3.46955404794e-07,0.0
1,187362.1810753546,14562.18107536198,45133.9532986111,2,1,0,8.6498592e-05,4.0571828,0.000349855835006,0.0,0.001383771606923,0.0,-6.1416627e-05,0.0,0.0,0.0,0,False,1,0.000349838600165,187362.1810753546,1.0,187362.1810753546,4.0571828,8.6498592e-08,1.0,2,2,3.4983860016499997e-07,0.0
1,187482.1905959476,14682.19059595497,45133.9546875,2,1,0,8.6498592e-05,4.0608721,0.00035273897609,0.0,0.001395475081357,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000352721741249,187482.1905959476,1.0,187482.1905959476,4.0608721,8.6498592e-08,1.0,2,2,3.52721741249e-07,0.0
1,187602.1998800912,14802.19988044081,45133.95607638889,2,1,0,8.6498592e-05,4.0645609,0.000355622106779,0.0,0.00140718848165,0.0,6.1416627e-05,0.0,0.0,0.0,0,False,1,0.000355604871938,187602.1998800912,1.0,187602.1998800912,4.0645609,8.6498592e-08,1.0,2,2,3.55604871938e-07,0.0
1,187722.2092839994,14922.20928400678,45133.95746527778,2,1,0,8.6463268e-05,4.0679426,0.000358505340245,0.0,0.001418912478095,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000358488105404,187722.2092839994,1.0,187722.2092839994,4.0679426,8.6463268e-08,1.0,2,2,3.5848810540399997e-07,0.0
1,187842.218703648,15042.21870365542,45133.95885416667,2,1,0,8.6498592e-05,4.0710173,0.000361388602616,0.0,0.001430646435811,0.0,-6.1416627e-05,0.0,0.0,0.0,0,False,1,0.000361371367775,187842.218703648,1.0,187842.218703648,4.0710173,8.6498592e-08,1.0,2,2,3.61371367775e-07,0.0
1,187962.2281910491,15162.22819139872,45133.96024305555,2,1,0,8.653391e-05,4.0740914,0.000364271863599,0.0,0.001442389025247,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000364254628758,187962.2281910491,1.0,187962.2281910491,4.0740914,8.653391e-08,1.0,2,2,3.64254628758e-07,0.0
1,188082.237509069,15282.23750941862,45133.96163194445,2,1,0,8.653391e-05,4.076551,0.000367155168345,0.0,0.001454139011146,0.0,6.1511993e-05,0.0,0.0,0.0,0,False,1,0.00036713793350400003,188082.237509069,1.0,188082.237509069,4.076551,8.653391e-08,1.0,2,2,3.67137933504e-07,0.0
1,188202.2469064757,15402.24690682528,45133.96302083333,2,1,0,8.6498592e-05,4.0787029,0.000370038426192,0.0,0.0014658952415,0.0,6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000370021191351,188202.2469064757,1.0,188202.2469064757,4.0787029,8.6498592e-08,1.0,2,2,3.70021191351e-07,0.0
1,188322.25631449,15522.25631449746,45133.96440972222,2,1,0,8.6463268e-05,4.0805478,0.000372921645053,0.0,0.001477657543838,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000372904410212,188322.25631449,1.0,188322.25631449,4.0805478,8.6463268e-08,1.0,2,2,3.7290441021200003e-07,0.0
1,188442.2657190826,15642.26571943216,45133.96579861111,2,1,0,8.6498592e-05,4.0826998,0.000375804829437,0.0,0.001489425479304,0.0,6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000375787594596,188442.2657190826,1.0,188442.2657190826,4.0826998,8.6498592e-08,1.0,2,2,3.7578759459600003e-07,0.0
1,188562.2751236751,15762.2751236825,45133.9671875,2,1,0,8.6463268e-05,4.0848517,0.000378688059679,0.0,0.001501199431247,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000378670824838,188562.2751236751,1.0,188562.2751236751,4.0848517,8.6463268e-08,1.0,2,2,3.78670824838e-07,0.0
1,188682.284527241,15882.28452724848,45133.9685763889,2,1,0,8.653391e-05,4.0876184,0.000381571339852,0.0,0.001512980765002,0.0,6.1416627e-05,0.0,0.0,0.0,0,False,1,0.000381554105011,188682.284527241,1.0,188682.284527241,4.0876184,8.653391e-08,1.0,2,2,3.81554105011e-07,0.0
1,188802.2939527068,16002.29395271424,45133.96996527778,2,1,0,8.653391e-05,4.0910001,0.000384454634755,0.0,0.001524771162814,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000384437399914,188802.2939527068,1.0,188802.2939527068,4.0910001,8.653391e-08,1.0,2,2,3.8443739991399996e-07,0.0
1,188922.3036122266,16122.30361223404,45133.97135416666,2,1,0,8.6427943e-05,4.0953045,0.000387337805438,0.0,0.001536571794001,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000387320570597,188922.3036122266,1.0,188922.3036122266,4.0953045,8.6427943e-08,1.0,2,2,3.87320570597e-07,0.0
1,189042.3127464936,16242.312746501,45133.97274305556,2,1,0,8.6463268e-05,4.099916,0.000390220912816,0.0,0.001548385781718,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000390203677975,189042.3127464936,1.0,189042.3127464936,4.099916,8.6463268e-08,1.0,2,2,3.90203677975e-07,0.0
1,189162.3221534814,16362.32215383099,45133.97413194445,2,1,0,8.6463268e-05,4.1060643,0.000393104050678,0.0,0.001560215558409,0.0,6.1416627e-05,0.0,0.0,0.0,0,False,1,0.000393086815837,189162.3221534814,1.0,189162.3221534814,4.1060643,8.6463268e-08,1.0,2,2,3.93086815837e-07,0.0
1,189282.3315775784,16482.33157758584,45133.97552083333,2,1,0,8.6498592e-05,4.1134429,0.000395987245078,0.0,0.001572064917334,0.0,0.00012292861,0.0,0.0,0.0,0,False,1,0.000395970010237,189282.3315775784,1.0,189282.3315775784,4.1134429,8.6498592e-08,1.0,2,2,3.95970010237e-07,0.0
1,189402.3409626665,16602.34096267386,45133.97690972222,2,1,0,8.6498592e-05,4.1214361,0.000398870411093,0.0,0.00158393627692,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000398853176252,189402.3409626665,1.0,189402.3409626665,4.1214361,8.6498592e-08,1.0,2,2,3.9885317625199996e-07,0.0
1,189522.3503665746,16722.35036658201,45133.97829861111,2,1,0,8.6498592e-05,4.1315813,0.000401753604578,0.0,0.001595833552896,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000401736369737,189522.3503665746,1.0,189522.3503665746,4.1315813,8.6498592e-08,1.0,2,2,4.01736369737e-07,0.0
1,189642.3597739046,16842.35977391201,45133.9796875,2,1,0,8.6463268e-05,4.1426492,0.000404636773282,0.0,0.001607761218826,0.0,6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000404619538441,189642.3597739046,1.0,189642.3597739046,4.1426492,8.6463268e-08,1.0,2,2,4.04619538441e-07,0.0
1,189762.3692797837,16962.36927979108,45133.98107638889,2,1,0,8.6498592e-05,4.1552539,0.000407519961228,0.0,0.001619723313811,0.0,6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000407502726387,189762.3692797837,1.0,189762.3692797837,4.1552539,8.6498592e-08,1.0,2,2,4.07502726387e-07,0.0
1,189882.378587538,17082.37858754545,45133.98246527778,2,1,0,8.6498592e-05,4.167551,0.000410403093198,0.0,0.001631721724082,0.0,6.1416627e-05,0.0,0.0,0.0,0,False,1,0.000410385858357,189882.378587538,1.0,189882.378587538,4.167551,8.6498592e-08,1.0,2,2,4.10385858357e-07,0.0
1,190002.38798734,17202.38798734739,45133.98386574074,2,1,0,8.6498592e-05,4.1773891,0.000413286274318,0.0,0.00164375189256,0.0,0.00012302399,0.0,0.0,0.0,0,False,1,0.00041326903947700003,190002.38798734,1.0,190002.38798734,4.1773891,8.6498592e-08,1.0,2,2,4.1326903947700004e-07,0.0
1,190122.3974011715,17322.39740152108,45133.98525462963,2,1,0,8.6463268e-05,4.1844602,0.000416169402744,0.0,0.001655806632395,0.0,6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000416152167903,190122.3974011715,1.0,190122.3974011715,4.1844602,8.6463268e-08,1.0,2,2,4.16152167903e-07,0.0
1,190242.4067972093,17442.40679721681,45133.98664351852,2,1,0,8.6463268e-05,4.1875343,0.000419052647089,0.0,0.00166787739407,0.0,-6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000419035412248,190242.4067972093,1.0,190242.4067972093,4.1875343,8.6463268e-08,1.0,2,2,4.1903541224800003e-07,0.0
1,190362.4162021441,17562.4162024937,45133.98803240741,2,1,0,8.6463268e-05,4.1899939,0.000421935960214,0.0,0.00167995498318,0.0,-6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000421918725373,190362.4162021441,1.0,190362.4162021441,4.1899939,8.6463268e-08,1.0,2,2,4.21918725373e-07,0.0
1,190482.425625899,17682.42562590636,45133.9894212963,2,1,0,8.6463268e-05,4.193068,0.000424819120486,0.0,0.001692040578885,0.0,-6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000424801885645,190482.425625899,1.0,190482.425625899,4.193068,8.6463268e-08,1.0,2,2,4.2480188564499997e-07,0.0
1,190602.4350144088,17802.43501441622,45133.99081018518,2,1,0,8.6463268e-05,4.1955276,0.000427702317433,0.0,0.001704134470219,0.0,-6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000427685082592,190602.4350144088,1.0,190602.4350144088,4.1955276,8.6463268e-08,1.0,2,2,4.27685082592e-07,0.0
1,190722.4444255029,17922.44442551025,45133.99219907408,2,1,0,8.6498592e-05,4.1989093,0.000430585473363,0.0,0.00171623552273,0.0,0.00012292861,0.0,0.0,0.0,0,False,1,0.000430568238522,190722.4444255029,1.0,190722.4444255029,4.1989093,8.6498592e-08,1.0,2,2,4.3056823852199997e-07,0.0
1,190842.4538502842,18042.45385029164,45133.99358796296,2,1,0,8.653391e-05,4.202291,0.000433468626135,0.0,0.001728345445584,0.0,6.1511993e-05,0.0,0.0,0.0,0,False,1,0.00043345139129400003,190842.4538502842,1.0,190842.4538502842,4.202291,8.653391e-08,1.0,2,2,4.33451391294e-07,0.0
1,190962.4632651423,18162.4632651497,45133.99497685185,2,1,0,8.6463268e-05,4.2065949,0.000436351897123,0.0,0.001740467792714,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000436334662282,190962.4632651423,1.0,190962.4632651423,4.2065949,8.6463268e-08,1.0,2,2,4.36334662282e-07,0.0
1,191082.4726375695,18282.4726375769,45133.99636574074,2,1,0,8.6498592e-05,4.2118216,0.000439235145731,0.0,0.001752603960663,0.0,0.0,0.0,0.0,0.0,0,False,1,0.00043921791089000003,191082.4726375695,1.0,191082.4726375695,4.2118216,8.6498592e-08,1.0,2,2,4.3921791089000004e-07,0.0
1,191202.4820650883,18402.48206543795,45133.99775462963,2,1,0,8.6498592e-05,4.2179704,0.00044211833942,0.0,0.001764756411964,0.0,6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000442101104579,191202.4820650883,1.0,191202.4820650883,4.2179704,8.6498592e-08,1.0,2,2,4.42101104579e-07,0.0
1,191322.4915538582,18522.49155420781,45133.99914351852,2,1,0,8.6498592e-05,4.2231965,0.00044500145396,0.0,0.001776924681792,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000444984219119,191322.4915538582,1.0,191322.4915538582,4.2231965,8.6498592e-08,1.0,2,2,4.44984219119e-07,0.0
1,191442.5008527157,18642.5008527232,45134.00053240741,2,1,0,8.6463268e-05,4.2284231,0.000447884643093,0.0,0.00178910875661,0.0,6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000447867408252,191442.5008527157,1.0,191442.5008527157,4.2284231,8.6463268e-08,1.0,2,2,4.47867408252e-07,0.0
1,191562.5102638098,18762.51026415942,45134.00192129629,2,1,0,8.6498592e-05,4.2339568,0.000450767877667,0.0,0.0018013087027,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000450750642826,191562.5102638098,1.0,191562.5102638098,4.2339568,8.6498592e-08,1.0,2,2,4.50750642826e-07,0.0
1,191682.5196762726,18882.51967662217,45134.00331018518,2,1,0,8.6463268e-05,4.2394905,0.000453651019517,0.0,0.001813524210527,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000453633784676,191682.5196762726,1.0,191682.5196762726,4.2394905,8.6463268e-08,1.0,2,2,4.5363378467600004e-07,0.0
1,191802.5290743636,19002.52907471319,45134.00469907407,2,1,0,8.6498592e-05,4.246254,0.000456534206938,0.0,0.001825757522343,0.0,6.1511993e-05,0.0,0.0,0.0,0,False,1,0.00045651697209700003,191802.5290743636,1.0,191802.5290743636,4.246254,8.6498592e-08,1.0,2,2,4.5651697209700003e-07,0.0
1,191922.5384734812,19122.53847348859,45134.00608796296,2,1,0,8.6463268e-05,4.2520952,0.000459417356347,0.0,0.001838008157808,0.0,6.1511993e-05,0.0,0.0,0.0,0,False,1,0.00045940012150600003,191922.5384734812,1.0,191922.5384734812,4.2520952,8.6463268e-08,1.0,2,2,4.59400121506e-07,0.0
1,192042.5478811534,19242.54788150296,45134.00747685185,2,1,0,8.6463268e-05,4.2573218,0.000462300461714,0.0,0.001850274810013,0.0,6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000462283226873,192042.5478811534,1.0,192042.5478811534,4.2573218,8.6463268e-08,1.0,2,2,4.62283226873e-07,0.0
1,192162.5572819818,19362.55728198927,45134.00886574074,2,1,0,8.6498592e-05,4.2628555,0.000465183560354,0.0,0.001862557094487,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000465166325513,192162.5572819818,1.0,192162.5572819818,4.2628555,8.6498592e-08,1.0,2,2,4.65166325513e-07,0.0
1,192282.5666961555,19482.56669616295,45134.01025462963,2,1,0,8.6463268e-05,4.2680817,0.000468066960747,0.0,0.001874856529923,0.0,0.0,0.0,0.0,0.0,0,False,1,0.00046804972590600003,192282.5666961555,1.0,192282.5666961555,4.2680817,8.6463268e-08,1.0,2,2,4.68049725906e-07,0.0
1,192402.5760962997,19602.57609664926,45134.01164351852,2,1,0,8.6498592e-05,4.274538,0.000470950107735,0.0,0.001887171215789,0.0,6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000470932872894,192402.5760962997,1.0,192402.5760962997,4.274538,8.6498592e-08,1.0,2,2,4.70932872894e-07,0.0
1,192522.5855063671,19722.58550637455,45134.01303240741,2,1,0,8.6463268e-05,4.2806864,0.000473833283882,0.0,0.001899504504105,0.0,6.1416627e-05,0.0,0.0,0.0,0,False,1,0.000473816049041,192522.5855063671,1.0,192522.5855063671,4.2806864,8.6463268e-08,1.0,2,2,4.73816049041e-07,0.0
