
Integration time [ms]:   1.500
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 3
Data measured with spectrometer [name]: 1908047U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
383.137; 5641.601;    1.359;21301.518
383.691; 5570.014;    1.177;21300.807
384.245; 5493.451;    1.234;21209.238
384.799; 5408.514;    1.590;21174.924
385.353; 5302.466;    1.592;21108.598
385.907; 5208.997;    1.316;21192.297
386.461; 5105.013;    1.083;21215.785
387.015; 5017.991;    1.360;21203.338
387.569; 4915.213;    1.889;21174.619
388.122; 4797.039;    2.104;21097.770
388.676; 4662.931;    1.903;21012.865
389.230; 4544.647;    1.553;20967.229
389.784; 4431.546;    1.410;20923.844
390.338; 4326.953;    1.933;20870.760
390.892; 4197.697;    1.982;20801.979
391.446; 4088.815;    1.653;20746.834
391.999; 4000.937;    1.459;20785.510
392.553; 3932.100;    1.220;20842.127
393.107; 3889.727;    1.697;20918.428
393.661; 3845.154;    2.186;20928.527
394.215; 3774.765;    2.016;20849.471
394.768; 3724.639;    1.859;20884.371
395.322; 3693.609;    1.867;20896.906
395.876; 3652.768;    2.114;20921.127
396.430; 3613.999;    2.769;20898.637
396.984; 3535.831;    2.666;20817.242
397.537; 3456.587;    2.269;20688.838
398.091; 3404.231;    1.972;20699.154
398.645; 3361.404;    2.234;20627.068
399.198; 3283.640;    2.689;20504.336
399.752; 3202.977;    2.704;20371.180
400.306; 3121.649;    2.034;20250.672
400.860; 3059.326;    1.823;20129.586
401.413; 2999.921;    1.749;20069.705
401.967; 2954.658;    2.179;19988.576
402.521; 2899.390;    2.394;19907.193
403.074; 2855.186;    2.083;19895.150
403.628; 2821.786;    1.956;19857.600
404.182; 2788.906;    1.919;19800.021
404.735; 2747.319;    2.024;19732.807
405.289; 2713.088;    2.382;19662.846
405.843; 2674.342;    2.070;19524.451
406.396; 2633.146;    1.782;19413.264
406.950; 2599.094;    1.594;19221.857
407.503; 2569.224;    1.399;18984.822
408.057; 2525.501;    1.927;18753.191
408.611; 2485.731;    1.907;18601.270
409.164; 2455.386;    1.660;18458.930
409.718; 2415.378;    1.399;18288.682
410.271; 2372.796;    1.146;18133.148
410.825; 2324.147;    1.410;18012.455
411.378; 2265.399;    1.899;17928.895
411.932; 2219.433;    1.537;17856.725
412.485; 2187.085;    1.200;17696.875
413.039; 2143.725;    1.014;17527.594
413.592; 2099.667;    1.517;17508.240
414.146; 2054.929;    2.139;17459.979
414.699; 2013.741;    2.102;17396.783
415.253; 1972.329;    1.862;17302.285
415.806; 1944.693;    1.943;17208.291
416.360; 1903.105;    2.102;17176.025
416.913; 1852.762;    2.394;17166.963
417.466; 1825.923;    2.573;17054.414
418.020; 1814.732;    2.026;17014.334
418.573; 1807.724;    1.532;17029.051
419.127; 1829.178;    1.297;17176.988
419.680; 1871.162;    1.624;17421.408
420.233; 1930.207;    1.959;17641.104
420.787; 2009.996;    1.922;17828.533
421.340; 2082.865;    1.173;18077.789
421.894; 2161.234;    1.093;18257.363
422.447; 2258.565;    1.720;18406.648
423.000; 2346.168;    2.184;18408.650
423.553; 2423.741;    1.816;18379.383
424.107; 2521.463;    1.613;18282.965
424.660; 2619.855;    1.514;18085.246
425.213; 2711.332;    1.934;17834.660
425.767; 2818.413;    2.327;17649.459
426.320; 2938.826;    2.252;17452.555
426.873; 3051.793;    1.960;17170.824
427.426; 3182.557;    1.932;16950.828
427.980; 3327.647;    2.239;16857.219
428.533; 3448.232;    2.722;16754.145
429.086; 3570.759;    2.900;16615.451
429.639; 3690.374;    2.762;16493.891
430.192; 3787.241;    2.344;16340.891
