theta,intensity
23.7600,0.895
23.8000,0.947
23.8400,0.941
23.8800,0.987
23.9200,0.970
23.9600,0.954
24.0000,0.966
24.0400,0.934
24.0800,0.953
24.1200,0.989
24.1600,0.936
24.2000,0.976
24.2400,0.931
24.2800,0.919
24.3200,0.934
24.3600,0.930
24.4000,0.953
24.4400,0.915
24.4800,0.916
24.5200,0.930
24.5600,0.945
24.6000,0.964
24.6400,0.917
24.6800,0.869
24.7200,0.873
24.7600,0.908
24.8000,0.877
24.8400,0.885
24.8800,0.883
24.9200,0.909
24.9600,0.922
25.0000,0.889
25.0400,0.885
25.0800,0.908
25.1200,0.856
25.1600,0.873
25.2000,0.857
25.2400,0.864
25.2800,0.927
25.3200,0.868
25.3600,0.852
25.4000,0.894
25.4400,0.860
25.4800,0.869
25.5200,0.875
25.5600,0.855
25.6000,0.865
25.6400,0.847
25.6800,0.868
25.7200,0.837
25.7600,0.856
25.8000,0.905
25.8400,0.880
25.8800,0.816
25.9200,0.827
25.9600,0.834
26.0000,0.798
26.0400,0.805
26.0800,0.837
26.1200,0.862
26.1600,0.820
26.2000,0.823
26.2400,0.827
26.2800,0.802
26.3200,0.833
26.3600,0.764
26.4000,0.787
26.4400,0.826
26.4800,0.806
26.5200,0.792
26.5600,0.830
26.6000,0.794
26.6400,0.760
26.6800,0.783
26.7200,0.803
26.7600,0.773
26.8000,0.801
26.8400,0.808
26.8800,0.814
26.9200,0.781
26.9600,0.775
27.0000,0.752
27.0400,0.772
27.0800,0.765
27.1200,0.792
27.1600,0.746
27.2000,0.791
27.2400,0.753
27.2800,0.783
27.3200,0.787
27.3600,0.774
27.4000,0.761
27.4400,0.748
27.4800,0.750
27.5200,0.754
27.5600,0.742
27.6000,0.743
27.6400,0.732
27.6800,0.736
27.7200,0.748
27.7600,0.722
27.8000,0.729
27.8400,0.771
27.8800,0.776
27.9200,0.753
27.9600,0.726
28.0000,0.721
28.0400,0.747
28.0800,0.733
28.1200,0.700
28.1600,0.787
28.2000,0.722
28.2400,0.741
28.2800,0.741
28.3200,0.741
28.3600,0.710
28.4000,0.711
28.4400,0.714
28.4800,0.705
28.5200,0.732
28.5600,0.695
28.6000,0.703
28.6400,0.683
28.6800,0.689
28.7200,0.748
28.7600,0.707
28.8000,0.721
28.8400,0.708
28.8800,0.697
28.9200,0.703
28.9600,0.719
29.0000,0.712
29.0400,0.708
29.0800,0.714
29.1200,0.688
29.1600,0.712
29.2000,0.704
29.2400,0.681
29.2800,0.685
29.3200,0.685
29.3600,0.672
29.4000,0.659
29.4400,0.709
29.4800,0.665
29.5200,0.638
29.5600,0.680
29.6000,0.673
29.6400,0.654
29.6800,0.661
29.7200,0.643
29.7600,0.703
29.8000,0.670
29.8400,0.657
29.8800,0.648
29.9200,0.698
29.9600,0.714
30.0000,0.667
30.0400,0.701
30.0800,0.682
30.1200,0.620
30.1600,0.626
30.2000,0.658
30.2400,0.693
30.2800,0.669
30.3200,0.637
30.3600,0.640
30.4000,0.671
30.4400,0.661
30.4800,0.666
30.5200,0.642
30.5600,0.631
30.6000,0.662
30.6400,0.632
30.6800,0.661
30.7200,0.604
30.7600,0.606
30.8000,0.635
30.8400,0.622
30.8800,0.635
30.9200,0.616
30.9600,0.666
31.0000,0.635
31.0400,0.622
31.0800,0.625
31.1200,0.624
31.1600,0.645
31.2000,0.602
31.2400,0.610
31.2800,0.637
31.3200,0.597
31.3600,0.630
31.4000,0.602
31.4400,0.594
31.4800,0.623
31.5200,0.657
31.5600,0.612
31.6000,0.616
31.6400,0.636
31.6800,0.620
31.7200,0.563
31.7600,0.574
31.8000,0.613
31.8400,0.612
31.8800,0.612
31.9200,0.614
31.9600,0.586
32.0000,0.604
32.0400,0.607
32.0800,0.608
32.1200,0.580
32.1600,0.597
32.2000,0.601
32.2400,0.586
32.2800,0.597
32.3200,0.602
32.3600,0.575
32.4000,0.601
32.4400,0.587
32.4800,0.600
32.5200,0.579
32.5600,0.563
32.6000,0.583
32.6400,0.578
32.6800,0.604
32.7200,0.588
32.7600,0.579
32.8000,0.604
32.8400,0.593
32.8800,0.564
32.9200,0.587
32.9600,0.590
33.0000,0.566
33.0400,0.575
33.0800,0.569
33.1200,0.597
33.1600,0.571
33.2000,0.564
33.2400,0.529
33.2800,0.563
33.3200,0.562
33.3600,0.543
33.4000,0.545
33.4400,0.534
33.4800,0.531
33.5200,0.535
33.5600,0.544
33.6000,0.564
33.6400,0.551
33.6800,0.577
33.7200,0.547
33.7600,0.597
33.8000,0.517
33.8400,0.589
33.8800,0.563
33.9200,0.556
33.9600,0.568
34.0000,0.533
34.0400,0.541
34.0800,0.530
34.1200,0.561
34.1600,0.523
34.2000,0.545
34.2400,0.536
34.2800,0.542
34.3200,0.544
34.3600,0.584
34.4000,0.553
34.4400,0.528
34.4800,0.525
34.5200,0.546
34.5600,0.515
34.6000,0.503
34.6400,0.543
34.6800,0.529
34.7200,0.517
34.7600,0.515
34.8000,0.522
34.8400,0.528
34.8800,0.504
34.9200,0.525
34.9600,0.534
35.0000,0.531
35.0400,0.534
35.0800,0.535
35.1200,0.518
35.1600,0.543
35.2000,0.530
35.2400,0.491
35.2800,0.567
35.3200,0.508
35.3600,0.513
35.4000,0.515
35.4400,0.513
35.4800,0.492
35.5200,0.495
35.5600,0.537
35.6000,0.516
35.6400,0.495
35.6800,0.511
35.7200,0.550
35.7600,0.527
35.8000,0.510
35.8400,0.523
35.8800,0.484
35.9200,0.497
35.9600,0.515
36.0000,0.496
36.0400,0.516
36.0800,0.526
36.1200,0.488
36.1600,0.518
36.2000,0.497
36.2400,0.499
36.2800,0.489
36.3200,0.542
36.3600,0.501
36.4000,0.515
36.4400,0.489
36.4800,0.502
36.5200,0.513
36.5600,0.500
36.6000,0.503
36.6400,0.494
36.6800,0.530
36.7200,0.542
36.7600,0.491
36.8000,0.501
36.8400,0.492
36.8800,0.509
36.9200,0.518
36.9600,0.514
37.0000,0.516
37.0400,0.493
37.0800,0.495
37.1200,0.524
37.1600,0.493
37.2000,0.521
37.2400,0.490
37.2800,0.532
37.3200,0.518
37.3600,0.540
37.4000,0.526
37.4400,0.515
37.4800,0.512
37.5200,0.515
37.5600,0.539
37.6000,0.530
37.6400,0.505
37.6800,0.533
37.7200,0.499
37.7600,0.539
37.8000,0.553
37.8400,0.556
37.8800,0.512
37.9200,0.534
37.9600,0.541
38.0000,0.577
38.0400,0.580
38.0800,0.610
38.1200,0.644
38.1600,0.662
38.2000,0.642
38.2400,0.672
38.2800,0.611
38.3200,0.636
38.3600,0.614
38.4000,0.623
38.4400,0.608
38.4800,0.629
38.5200,0.633
38.5600,0.670
38.6000,0.698
38.6400,0.713
38.6800,0.729
38.7200,0.741
38.7600,0.832
38.8000,0.847
38.8400,0.880
38.8800,0.873
38.9200,0.967
38.9600,1.030
39.0000,1.130
39.0400,1.126
39.0800,1.237
39.1200,1.403
39.1600,1.431
39.2000,1.632
39.2400,1.749
39.2800,1.885
39.3200,2.140
39.3600,2.351
39.4000,2.466
39.4400,2.679
39.4800,2.855
39.5200,3.138
39.5600,3.312
39.6000,3.558
