Title                                                           28.11.2022 15:28
________________________________________________________________________________

Title


Curve Name:
  mp2028_281122_LNO, 28.11.2022 14:59:27
  Performed 28.11.2022 14:59:26
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
            242            242        52.8593        65.3333        4.17469
            243            243        53.0085           65.5        4.17469
            244            244        53.1632        65.6667        4.17471
            245            245        53.3094        65.8333        4.17472
            246            246         53.467             66        4.17471
            247            247        53.6154        66.1667        4.17468
            248            248        53.7601        66.3333        4.17467
            249            249        53.9222           66.5        4.17466
            250            250        54.0818        66.6667        4.17466
            251            251        54.2249        66.8333        4.17467
            252            252        54.3764             67        4.17468
            253            253        54.5354        67.1667        4.17467
            254            254        54.6827        67.3333        4.17467
            255            255        54.8495           67.5        4.17472
            256            256        55.0022        67.6667        4.17474
            257            257        55.1573        67.8333        4.17474
            258            258        55.3154             68        4.17475
            259            259        55.4604        68.1667        4.17478
            260            260        55.6203        68.3333         4.1748
            261            261        55.7757           68.5         4.1748
            262            262        55.9241        68.6667        4.17481
            263            263        56.0777        68.8333        4.17484
            264            264        56.2435             69        4.17486
            265            265        56.3969        69.1667        4.17485
            266            266        56.5471        69.3333        4.17482
            267            267        56.7027           69.5        4.17481
            268            268        56.8617        69.6667         4.1748
            269            269        57.0091        69.8333        4.17479
            270            270        57.1653             70        4.17478
            271            271        57.3286        70.1667        4.17479
            272            272        57.4826        70.3333        4.17478
            273            273        57.6291           70.5        4.17478
            274            274          57.78        70.6667        4.17479
            275            275        57.9461        70.8333        4.17481
            276            276        58.0912             71         4.1748
            277            277        58.2467        71.1667        4.17476
            278            278        58.4032        71.3333        4.17471
            279            279        58.5675           71.5        4.17466
            280            280        58.7251        71.6667        4.17463
            281            281        58.8766        71.8333        4.17459
            282            282        59.0409             72        4.17453
            283            283        59.1944        72.1667        4.17452
            284            284        59.3546        72.3333        4.17451
            285            285        59.5049           72.5        4.17449
            286            286        59.6609        72.6667        4.17447
            287            287        59.8065        72.8333        4.17451
            288            288        59.9678             73        4.17453
            289            289        60.1122        73.1667        4.17454
            290            290        60.2651        73.3333        4.17453
            291            291         60.432           73.5        4.17455
            292            292        60.5932        73.6667        4.17457
            293            293        60.7417        73.8333        4.17458
            294            294         60.913             74        4.17458
            295            295         61.057        74.1667        4.17457
            296            296        61.2106        74.3333        4.17459
            297            297        61.3573           74.5        4.17461
            298            298        61.5191        74.6667        4.17463
            299            299        61.6846        74.8333        4.17462
            300            300        61.8388             75        4.17464
            301            301        61.9958        75.1667        4.17466
            302            302        62.1509        75.3333        4.17467
            303            303        62.3219           75.5        4.17463
            304            304        62.4811        75.6667         4.1746
            305            305        62.6293        75.8333        4.17459
            306            306        62.7922             76        4.17458
            307            307        62.9503        76.1667        4.17452
            308            308        63.1096        76.3333        4.17451
            309            309        63.2703           76.5        4.17452
            310            310        63.4253        76.6667        4.17453
            311            311        63.5833        76.8333        4.17453
            312            312         63.746             77        4.17451
            313            313        63.8928        77.1667         4.1745
            314            314        64.0471        77.3333        4.17451
            315            315        64.2086           77.5        4.17452
            316            316         64.366        77.6667        4.17449
            317            317        64.5205        77.8333        4.17448
            318            318        64.6816             78         4.1745
            319            319         64.838        78.1667        4.17451
            320            320        64.9942        78.3333        4.17452
            321            321        65.1473           78.5        4.17455
            322            322        65.3075        78.6667        4.17459
            323            323        65.4761        78.8333        4.17463
            324            324        65.6327             79        4.17465
            325            325        65.7798        79.1667        4.17464
            326            326        65.9446        79.3333         4.1746
            327            327        66.1029           79.5        4.17454
            328            328        66.2644        79.6667        4.17436
            329            329        66.4174        79.8333        4.17419
            330            330        66.5741             80        4.17403
            331            331        66.7449        80.1667        4.17387
            332            332        66.8974        80.3333        4.17368
            333            333         67.048           80.5        4.17355
            334            334        67.2084        80.6667        4.17346
            335            335        67.3684        80.8333         4.1734
            336            336        67.5251             81        4.17347
            337            337        67.6826        81.1667        4.17349
            338            338        67.8493        81.3333        4.17353
            339            339        68.0133           81.5        4.17359
            340            340          68.17        81.6667        4.17366
            341            341        68.3249        81.8333        4.17371
            342            342        68.4772             82        4.17375
            343            343        68.6418        82.1667        4.17379
            344            344        68.7915        82.3333        4.17377
            345            345        68.9563           82.5        4.17377
            346            346        69.1225        82.6667        4.17379
            347            347        69.2685        82.8333        4.17382
            348            348        69.4257             83        4.17382
            349            349        69.5921        83.1667        4.17382
            350            350        69.7572        83.3333        4.17382
            351            351        69.9145           83.5        4.17383
            352            352        70.0769        83.6667        4.17387
            353            353        70.2419        83.8333        4.17389
            354            354        70.3867             84        4.17389
            355            355        70.5481        84.1667        4.17387
            356            356        70.7061        84.3333        4.17384
            357            357        70.8719           84.5         4.1738
            358            358        71.0227        84.6667        4.17378
            359            359        71.1906        84.8333        4.17375
            360            360         71.353             85        4.17368
            361            361        71.5097        85.1667        4.17366
            362            362        71.6692        85.3333        4.17368
            363            363        71.8217           85.5        4.17369
            364            364        71.9878        85.6667        4.17372
            365            365        72.1485        85.8333        4.17374
            366            366         72.315             86        4.17378
            367            367        72.4827        86.1667        4.17383
            368            368        72.6427        86.3333        4.17383
            369            369        72.7928           86.5        4.17382
            370            370        72.9536        86.6667        4.17379
            371            371        73.1161        86.8333        4.17377
            372            372        73.2805             87        4.17374
            373            373        73.4431        87.1667        4.17371
            374            374        73.6006        87.3333        4.17368
            375            375        73.7522           87.5        4.17363
            376            376        73.9225        87.6667        4.17364
            377            377        74.0765        87.8333        4.17365
            378            378        74.2395             88        4.17364
            379            379         74.402        88.1667        4.17362
            380            380        74.5712        88.3333        4.17365
            381            381        74.7331           88.5        4.17366
            382            382         74.895        88.6667        4.17365
            383            383         75.053        88.8333        4.17363
            384            384        75.2067             89        4.17359
            385            385          75.37        89.1667        4.17356
            386            386        75.5184        89.3333        4.17356
            387            387         75.694           89.5        4.17355
            388            388        75.8567        89.6667        4.17351
            389            389        76.0177        89.8333        4.17346
            390            390        76.1847             90        4.17341
            391            391        76.3419        90.1667        4.17336
            392            392         76.498        90.3333        4.17334
            393            393        76.6727           90.5        4.17333
            394            394        76.8215        90.6667        4.17331
            395            395        76.9886        90.8333        4.17329
            396            396        77.1527             91        4.17334
            397            397        77.3053        91.1667        4.17338
            398            398        77.4721        91.3333         4.1734
            399            399        77.6289           91.5        4.17341
            400            400        77.7858        91.6667        4.17347
            401            401        77.9583        91.8333        4.17353
            402            402        78.1155             92        4.17357
            403            403        78.2814        92.1667         4.1736
            404            404        78.4375        92.3333        4.17362
            405            405        78.6062           92.5        4.17364
            406            406        78.7721        92.6667        4.17367
            407            407        78.9334        92.8333        4.17369
            408            408         79.093             93        4.17369
            409            409        79.2552        93.1667        4.17366
            410            410         79.417        93.3333        4.17363
            411            411        79.5856           93.5        4.17362
            412            412         79.744        93.6667        4.17362
            413            413        79.9073        93.8333        4.17356
            414            414        80.0775             94        4.17349
            415            415        80.2468        94.1667         4.1734
            416            416        80.4052        94.3333        4.17329
            417            417        80.5772           94.5        4.17318
            418            418        80.7379        94.6667         4.1731
            419            419        80.8835        94.8333        4.17301
            420            420        81.0427             95         4.1729
            421            421        81.2043        95.1667        4.17279
            422            422        81.3687        95.3333        4.17267
            423            423        81.5375           95.5        4.17257
            424            424        81.6977        95.6667        4.17248
            425            425        81.8534        95.8333        4.17233
            426            426        82.0158             96        4.17221
            427            427        82.1885        96.1667        4.17212
            428            428        82.3493        96.3333        4.17206
            429            429        82.5049           96.5        4.17201
            430            430        82.6741        96.6667        4.17197
            431            431        82.8329        96.8333        4.17195
            432            432        83.0106             97        4.17194
            433            433        83.1675        97.1667        4.17192
            434            434         83.329        97.3333        4.17185
            435            435        83.4951           97.5        4.17176
            436            436         83.656        97.6667        4.17164
            437            437        83.8174        97.8333        4.17143
            438            438        83.9814             98        4.17124
            439            439        84.1577        98.1667        4.17105
            440            440        84.3148        98.3333        4.17088
            441            441        84.4892           98.5        4.17073
            442            442         84.648        98.6667        4.17061
            443            443        84.8042        98.8333        4.17054
            444            444        84.9711             99        4.17051
            445            445        85.1361        99.1667         4.1706
            446            446        85.3014        99.3333        4.17065
            447            447        85.4755           99.5        4.17071
            448            448         85.642        99.6667        4.17077
            449            449        85.8066        99.8333        4.17088
            450            450        85.9626            100        4.17098
            451            451        86.1353        100.167        4.17106
            452            452        86.3089        100.333        4.17113
            453            453         86.476          100.5        4.17123
            454            454        86.6458        100.667        4.17132
            455            455        86.8188        100.833        4.17138
            456            456        86.9818            101        4.17141
            457            457        87.1467        101.167        4.17141
            458            458        87.3277        101.333        4.17143
            459            459        87.4877          101.5        4.17144
            460            460        87.6535        101.667        4.17143
            461            461        87.8268        101.833        4.17136
            462            462        87.9874            102        4.17134
            463            463        88.1601        102.167        4.17135
            464            464        88.3306        102.333        4.17136
            465            465        88.5011          102.5        4.17136
            466            466        88.6576        102.667        4.17138
            467            467        88.8356        102.833        4.17142
            468            468        89.0153            103        4.17145
            469            469        89.1842        103.167        4.17149
            470            470        89.3508        103.333        4.17154
            471            471        89.5206          103.5        4.17161
            472            472        89.6884        103.667        4.17166
            473            473        89.8624        103.833        4.17171
            474            474        90.0386            104        4.17177
            475            475        90.2048        104.167        4.17183
            476            476        90.3838        104.333        4.17187
            477            477        90.5533          104.5        4.17188
            478            478        90.7209        104.667        4.17192
            479            479        90.8925        104.833        4.17196
            480            480        91.0666            105        4.17199
            481            481        91.2382        105.167        4.17199
            482            482        91.4024        105.333        4.17197
            483            483        91.5693          105.5        4.17198
            484            484        91.7419        105.667          4.172
            485            485        91.9235        105.833        4.17202
            486            486        92.1003            106        4.17201
            487            487         92.265        106.167        4.17204
            488            488        92.4386        106.333        4.17209
            489            489        92.6215          106.5        4.17214
            490            490        92.7959        106.667        4.17221
            491            491        92.9644        106.833         4.1723
            492            492        93.1348            107        4.17239
            493            493        93.3087        107.167        4.17248
            494            494        93.4892        107.333        4.17262
            495            495        93.6563          107.5        4.17275
            496            496        93.8324        107.667        4.17284
            497            497        94.0076        107.833        4.17291
            498            498        94.1779            108        4.17293
            499            499        94.3499        108.167        4.17291
            500            500         94.516        108.333        4.17286
            501            501        94.6859          108.5        4.17279
            502            502         94.864        108.667        4.17264
            503            503        95.0334        108.833        4.17258
            504            504        95.2062            109        4.17255
            505            505         95.381        109.167        4.17253
            506            506        95.5585        109.333        4.17255
            507            507        95.7236          109.5        4.17254
            508            508        95.8951        109.667        4.17255
            509            509        96.0645        109.833        4.17256
            510            510        96.2436            110        4.17254
            511            511        96.4202        110.167        4.17253
            512            512        96.5918        110.333        4.17254
            513            513        96.7598          110.5        4.17258
            514            514        96.9401        110.667        4.17263
            515            515         97.115        110.833        4.17269
            516            516        97.2879            111        4.17278
            517            517        97.4562        111.167        4.17289
            518            518        97.6321        111.333        4.17302
            519            519        97.8063          111.5        4.17311
            520            520        97.9788        111.667        4.17316
            521            521        98.1493        111.833        4.17319
            522            522        98.3172            112        4.17315
            523            523        98.4995        112.167        4.17315
            524            524        98.6753        112.333        4.17318
            525            525        98.8411          112.5         4.1732
            526            526        99.0248        112.667        4.17317
            527            527         99.196        112.833        4.17315
            528            528        99.3702            113        4.17313
            529            529        99.5438        113.167        4.17309
            530            530        99.7147        113.333        4.17308
            531            531        99.8848          113.5         4.1731
            532            532        100.059        113.667        4.17311
            533            533        100.234        113.833        4.17311
            534            534        100.406            114        4.17312
            535            535        100.573        114.167         4.1731
            536            536        100.753        114.333        4.17309
            537            537        100.928          114.5         4.1731
            538            538        101.102        114.667        4.17303
            539            539        101.285        114.833        4.17297
            540            540        101.461            115         4.1729
            541            541        101.619        115.167        4.17282
            542            542        101.794        115.333        4.17276
            543            543        101.965          115.5        4.17274
            544            544        102.139        115.667        4.17274
            545            545        102.314        115.833        4.17275
            546            546        102.477            116        4.17276
            547            547        102.648        116.167        4.17289
            548            548        102.832        116.333        4.17299
            549            549        102.997          116.5        4.17307
            550            550        103.166        116.667        4.17313
            551            551         103.34        116.833        4.17317
            552            552        103.518            117        4.17318
            553            553        103.693        117.167        4.17319
            554            554         103.86        117.333        4.17321
            555            555        104.028          117.5        4.17315
            556            556        104.214        117.667        4.17311
            557            557        104.379        117.833        4.17306
            558            558        104.558            118          4.173
            559            559        104.738        118.167        4.17291
            560            560        104.902        118.333        4.17281
            561            561         105.08          118.5        4.17272
            562            562        105.251        118.667        4.17266
            563            563        105.419        118.833        4.17259
            564            564        105.592            119        4.17256
            565            565        105.765        119.167        4.17257
            566            566        105.933        119.333        4.17261
            567            567        106.119          119.5        4.17275
