,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
15,1.00000E+000,1.41512E+000,1.00000E+000,1.72794E+000,1.00000E+000,1.76716E+000,4.97697E-001,-1.66893E-002,4.97697E-001,2.93255E-001,4.97697E-001,3.40939E-001,4.97697E-001,3.40939E-001,4.97697E-001,2.48253E-001,4.97697E-001,8.82149E-002,4.97697E-001,-2.98023E-001,4.97697E-001,-3.02792E-001,4.80197E-001,-5.55515E-001
16,1.10000E+000,1.44590E+000,1.10000E+000,1.75380E+000,1.10000E+000,1.79544E+000,4.97463E-001,-2.14577E-002,4.97463E-001,2.88486E-001,4.97463E-001,3.21865E-001,4.97463E-001,3.36170E-001,4.97463E-001,2.45571E-001,4.97463E-001,4.52995E-002,4.97463E-001,-3.12328E-001,4.97463E-001,-3.36170E-001,4.78166E-001,-5.74589E-001
17,1.20000E+000,1.47372E+000,1.20000E+000,1.77215E+000,1.20000E+000,1.81325E+000,4.97229E-001,-2.62260E-002,4.97229E-001,2.93255E-001,4.97229E-001,3.31402E-001,4.97229E-001,3.31402E-001,4.97229E-001,2.45571E-001,4.97229E-001,1.26362E-001,4.97229E-001,-1.66893E-002,4.97229E-001,-1.45435E-001,4.76213E-001,-5.98431E-001
18,1.30000E+000,1.49864E+000,1.30000E+000,1.78528E+000,1.30000E+000,1.82637E+000,4.96994E-001,-3.09944E-002,4.96994E-001,3.02792E-001,4.96994E-001,3.12328E-001,4.96994E-001,3.36170E-001,4.96994E-001,2.55108E-001,4.96994E-001,4.52995E-002,4.96994E-001,-1.93119E-001,4.96994E-001,-2.74181E-001,4.74181E-001,-6.22272E-001
19,1.40000E+000,1.52122E+000,1.40000E+000,1.79528E+000,1.40000E+000,1.83731E+000,4.96759E-001,-3.09944E-002,4.96759E-001,3.02792E-001,4.96759E-001,3.17097E-001,4.96759E-001,3.45707E-001,4.96759E-001,2.12193E-001,4.96759E-001,5.96046E-002,4.96759E-001,-2.83718E-001,4.96759E-001,-3.93391E-001,4.72228E-001,-6.12736E-001
20,1.50000E+000,1.54231E+000,1.50000E+000,1.80356E+000,1.50000E+000,1.84747E+000,4.96526E-001,-3.09944E-002,4.96526E-001,2.98023E-001,4.96526E-001,3.21865E-001,4.96526E-001,3.26633E-001,4.96526E-001,2.31266E-001,4.96526E-001,8.34465E-002,4.96526E-001,-3.31402E-001,4.96526E-001,-3.83854E-001,4.70275E-001,-6.36578E-001
21,1.60000E+000,1.56309E+000,1.60000E+000,1.81083E+000,1.60000E+000,1.85731E+000,4.96369E-001,-3.09944E-002,4.96369E-001,2.88486E-001,4.96369E-001,3.07560E-001,4.96369E-001,3.12328E-001,4.96369E-001,2.50340E-001,4.96369E-001,2.62260E-002,4.96369E-001,-3.02792E-001,4.96369E-001,-3.67165E-001,4.68244E-001,-6.41346E-001
22,1.70000E+000,1.58356E+000,1.70000E+000,1.81739E+000,1.70000E+000,1.86731E+000,4.96135E-001,-2.14577E-002,4.96135E-001,2.83718E-001,4.96135E-001,3.36170E-001,4.96135E-001,3.02792E-001,4.96135E-001,2.45571E-001,4.96135E-001,5.00679E-002,4.96135E-001,-3.55244E-001,4.96135E-001,-3.36170E-001,4.66290E-001,-6.55651E-001
23,1.80000E+000,1.60372E+000,1.80000E+000,1.82356E+000,1.80000E+000,1.87770E+000,4.95900E-001,-2.14577E-002,4.95900E-001,2.78950E-001,4.95900E-001,3.12328E-001,4.95900E-001,3.36170E-001,4.95900E-001,2.37226E-001,4.95900E-001,4.52995E-002,4.95900E-001,-3.74317E-001,4.95900E-001,-3.55244E-001,4.64259E-001,-6.89030E-001
24,1.90000E+000,1.62333E+000,1.90000E+000,1.82958E+000,1.90000E+000,1.88864E+000,4.95666E-001,-2.62260E-002,4.95666E-001,2.83718E-001,4.95666E-001,3.21865E-001,4.95666E-001,3.26633E-001,4.95666E-001,2.26498E-001,4.95666E-001,4.52995E-002,4.95666E-001,-3.69549E-001,4.95666E-001,-2.98023E-001,4.62306E-001,-6.98566E-001
25,2.00000E+000,1.64223E+000,2.00000E+000,1.83536E+000,2.00000E+000,1.90020E+000,4.95432E-001,-3.57628E-002,4.95432E-001,2.93255E-001,4.95432E-001,3.02792E-001,4.95432E-001,3.17097E-001,4.95432E-001,2.26498E-001,4.95432E-001,3.57628E-002,4.95432E-001,-4.26769E-001,4.95432E-001,-4.26769E-001,4.60353E-001,-7.17640E-001
26,2.10000E+000,1.66005E+000,2.10000E+000,1.84122E+000,2.10000E+000,1.91231E+000,4.95197E-001,-3.57628E-002,4.95197E-001,2.93255E-001,4.95197E-001,3.07560E-001,4.95197E-001,3.12328E-001,4.95197E-001,2.21729E-001,4.95197E-001,4.05312E-002,4.95197E-001,-3.69549E-001,4.95197E-001,-4.83990E-001,4.58323E-001,-7.12872E-001
27,2.20000E+000,1.67637E+000,2.20000E+000,1.84708E+000,2.20000E+000,1.92458E+000,4.94963E-001,-3.57628E-002,4.94963E-001,2.88486E-001,4.94963E-001,3.17097E-001,4.94963E-001,3.12328E-001,4.94963E-001,2.21729E-001,4.94963E-001,1.66893E-002,4.94963E-001,-4.31538E-001,4.94963E-001,-5.45979E-001,4.56369E-001,-7.31945E-001
28,2.30000E+000,1.69083E+000,2.30000E+000,1.85301E+000,2.30000E+000,1.93661E+000,4.94728E-001,-3.09944E-002,4.94728E-001,2.78950E-001,4.94728E-001,3.02792E-001,4.94728E-001,3.09944E-001,4.94728E-001,2.21729E-001,4.94728E-001,5.00679E-002,4.94728E-001,-3.69549E-001,4.94728E-001,-4.69685E-001,4.54338E-001,-7.36713E-001
29,2.40000E+000,1.70301E+000,2.40000E+000,1.85903E+000,2.40000E+000,1.94762E+000,4.94494E-001,-2.14577E-002,4.94494E-001,2.74181E-001,4.94494E-001,3.21865E-001,4.94494E-001,3.07560E-001,4.94494E-001,2.21729E-001,4.94494E-001,3.57628E-002,4.94494E-001,-4.26769E-001,4.94494E-001,-4.79221E-001,4.52385E-001,-7.55787E-001
30,2.50000E+000,1.71309E+000,2.50000E+000,1.86528E+000,2.50000E+000,1.95731E+000,4.94260E-001,-2.14577E-002,4.94260E-001,2.74181E-001,4.94260E-001,3.02792E-001,4.94260E-001,3.07560E-001,4.94260E-001,2.21729E-001,4.94260E-001,2.62260E-002,4.94260E-001,-4.79221E-001,4.94260E-001,-4.88758E-001,4.50432E-001,-7.79629E-001
31,2.60000E+000,1.72137E+000,2.60000E+000,1.87169E+000,2.60000E+000,1.96552E+000,4.94025E-001,-3.09944E-002,4.94025E-001,2.74181E-001,4.94025E-001,3.12328E-001,4.94025E-001,3.12328E-001,4.94025E-001,2.22921E-001,4.94025E-001,3.09944E-002,4.94025E-001,-4.02927E-001,4.94025E-001,-5.31673E-001,4.48400E-001,-7.70092E-001
32,2.70000E+000,1.72825E+000,2.70000E+000,1.87841E+000,2.70000E+000,1.97223E+000,4.93791E-001,-3.09944E-002,4.93791E-001,2.83718E-001,4.93791E-001,2.93255E-001,4.93791E-001,3.12328E-001,4.93791E-001,2.26498E-001,4.93791E-001,2.38419E-003,4.93791E-001,-3.79086E-001,4.93791E-001,-4.69685E-001,4.46447E-001,-7.84397E-001
33,2.80000E+000,1.73434E+000,2.80000E+000,1.88520E+000,2.80000E+000,1.97794E+000,4.93557E-001,-3.57628E-002,4.93557E-001,2.88486E-001,4.93557E-001,3.02792E-001,4.93557E-001,3.07560E-001,4.93557E-001,2.21729E-001,4.93557E-001,5.00679E-002,4.93557E-001,-4.36306E-001,4.93557E-001,-4.98295E-001,4.44416E-001,-7.89165E-001
34,2.90000E+000,1.74005E+000,2.90000E+000,1.89231E+000,2.90000E+000,1.98263E+000,4.93322E-001,-3.57628E-002,4.93322E-001,2.78950E-001,4.93322E-001,3.02792E-001,4.93322E-001,2.98023E-001,4.93322E-001,2.12193E-001,4.93322E-001,1.66893E-002,4.93322E-001,-4.26769E-001,4.93322E-001,-5.55515E-001,4.42463E-001,-8.08239E-001
35,3.00000E+000,1.74559E+000,3.00000E+000,1.89950E+000,3.00000E+000,1.98661E+000,4.93166E-001,-3.09944E-002,4.93166E-001,2.74181E-001,4.93166E-001,2.93255E-001,4.93166E-001,2.93255E-001,4.93166E-001,1.97887E-001,4.93166E-001,3.09944E-002,4.93166E-001,-4.64916E-001,4.93166E-001,-5.36442E-001,4.40510E-001,-8.22544E-001
36,3.10000E+000,1.75091E+000,3.10000E+000,1.90669E+000,3.10000E+000,1.98997E+000,4.92931E-001,-2.98023E-002,4.92931E-001,2.69413E-001,4.92931E-001,3.12328E-001,4.92931E-001,3.17097E-001,4.92931E-001,1.88351E-001,4.92931E-001,2.62260E-002,4.92931E-001,-4.64916E-001,4.92931E-001,-5.25713E-001,4.38478E-001,-8.32081E-001
37,3.20000E+000,1.75614E+000,3.20000E+000,1.91380E+000,3.20000E+000,1.99286E+000,4.92697E-001,-2.62260E-002,4.92697E-001,2.64645E-001,4.92697E-001,2.93255E-001,4.92697E-001,3.07560E-001,4.92697E-001,1.78814E-001,4.92697E-001,3.09944E-002,4.92697E-001,-4.50611E-001,4.92697E-001,-5.12600E-001,4.36525E-001,-8.46386E-001
38,3.30000E+000,1.76122E+000,3.30000E+000,1.92083E+000,3.30000E+000,1.99544E+000,4.92463E-001,-3.18885E-002,4.92463E-001,2.69413E-001,4.92463E-001,3.02792E-001,4.92463E-001,2.98023E-001,4.92463E-001,2.07424E-001,4.92463E-001,2.14577E-002,4.92463E-001,-5.65052E-001,4.92463E-001,-4.98295E-001,4.34572E-001,-8.51154E-001
39,3.40000E+000,1.76614E+000,3.40000E+000,1.92747E+000,3.40000E+000,1.99770E+000,4.92229E-001,-3.57628E-002,4.92229E-001,2.83718E-001,4.92229E-001,2.83718E-001,4.92229E-001,2.93255E-001,4.92229E-001,2.21729E-001,4.92229E-001,3.57628E-002,4.92229E-001,-5.55515E-001,4.92229E-001,-5.60284E-001,4.32541E-001,-8.46386E-001
40,3.50000E+000,1.77083E+000,3.50000E+000,1.93380E+000,3.50000E+000,1.99973E+000,4.91994E-001,-3.57628E-002,4.91994E-001,2.83718E-001,4.91994E-001,2.93255E-001,4.91994E-001,2.98023E-001,4.91994E-001,2.07424E-001,4.91994E-001,1.66893E-002,4.91994E-001,-5.26905E-001,4.91994E-001,-5.07832E-001,4.30588E-001,-8.36849E-001
41,3.60000E+000,1.77536E+000,3.60000E+000,1.93958E+000,3.60000E+000,2.00153E+000,4.91759E-001,-3.57628E-002,4.91759E-001,2.69413E-001,4.91759E-001,2.98023E-001,4.91759E-001,3.02792E-001,4.91759E-001,1.88351E-001,4.91759E-001,1.07288E-002,4.91759E-001,-5.07832E-001,4.91759E-001,-5.31673E-001,4.28556E-001,-8.65459E-001
42,3.70000E+000,1.77973E+000,3.70000E+000,1.94505E+000,3.70000E+000,2.00317E+000,4.91526E-001,-2.62260E-002,4.91526E-001,2.64645E-001,4.91526E-001,2.88486E-001,4.91526E-001,2.98023E-001,4.91526E-001,1.97887E-001,4.91526E-001,2.38419E-003,4.91526E-001,-6.12736E-001,4.91526E-001,-6.17504E-001,4.26603E-001,-8.89301E-001
43,3.80000E+000,1.78387E+000,3.80000E+000,1.94997E+000,3.80000E+000,2.00473E+000,4.91291E-001,-2.62260E-002,4.91291E-001,2.64645E-001,4.91291E-001,3.02792E-001,4.91291E-001,2.78950E-001,4.91291E-001,1.88351E-001,4.91291E-001,2.08616E-003,4.91291E-001,-5.12600E-001,4.91291E-001,-6.27041E-001,4.24650E-001,-8.84533E-001
44,3.90000E+000,1.78786E+000,3.90000E+000,1.95450E+000,3.90000E+000,2.00606E+000,4.91056E-001,-2.62260E-002,4.91056E-001,2.59876E-001,4.91056E-001,2.83718E-001,4.91056E-001,2.78950E-001,4.91056E-001,1.78814E-001,4.91056E-001,-2.38419E-003,4.91056E-001,-4.79221E-001,4.91056E-001,-5.93662E-001,4.22619E-001,-9.03606E-001
45,4.00000E+000,1.79176E+000,4.00000E+000,1.95864E+000,4.00000E+000,2.00739E+000,4.90822E-001,-3.09944E-002,4.90822E-001,2.68221E-001,4.90822E-001,2.93255E-001,4.90822E-001,3.02792E-001,4.90822E-001,2.12193E-001,4.90822E-001,-2.38419E-003,4.90822E-001,-4.83990E-001,4.90822E-001,-5.69820E-001,4.20666E-001,-9.13143E-001
46,4.10000E+000,1.79552E+000,4.10000E+000,1.96239E+000,4.10000E+000,2.00856E+000,4.90588E-001,-4.05312E-002,4.90588E-001,2.74181E-001,4.90588E-001,2.78950E-001,4.90588E-001,2.98023E-001,4.90588E-001,1.93119E-001,4.90588E-001,-2.14577E-002,4.90588E-001,-5.31673E-001,4.90588E-001,-6.12736E-001,4.18634E-001,-9.03606E-001
47,4.20000E+000,1.79926E+000,4.20000E+000,1.96583E+000,4.20000E+000,2.00966E+000,4.90354E-001,-4.05312E-002,4.90354E-001,2.74181E-001,4.90354E-001,2.88486E-001,4.90354E-001,2.78950E-001,4.90354E-001,1.78814E-001,4.90354E-001,-4.05312E-002,4.90354E-001,-5.22137E-001,4.90354E-001,-6.22272E-001,4.16681E-001,-9.08375E-001
48,4.30000E+000,1.80294E+000,4.30000E+000,1.96895E+000,4.30000E+000,2.01067E+000,4.90119E-001,-4.05312E-002,4.90119E-001,2.69413E-001,4.90119E-001,2.83718E-001,4.90119E-001,2.83718E-001,4.90119E-001,1.75238E-001,4.90119E-001,-2.38419E-003,4.90119E-001,-5.26905E-001,4.90119E-001,-5.87702E-001,4.14728E-001,-9.13143E-001
49,4.40000E+000,1.80653E+000,4.40000E+000,1.97192E+000,4.40000E+000,2.01161E+000,4.89963E-001,-3.09944E-002,4.89963E-001,2.55108E-001,4.89963E-001,2.78950E-001,4.89963E-001,2.93255E-001,4.89963E-001,1.64509E-001,4.89963E-001,-3.09944E-002,4.89963E-001,-4.93526E-001,4.89963E-001,-5.50747E-001,4.12697E-001,-9.41753E-001
50,4.50000E+000,1.81005E+000,4.50000E+000,1.97466E+000,4.50000E+000,2.01247E+000,4.89729E-001,-2.14577E-002,4.89729E-001,2.55108E-001,4.89729E-001,2.98023E-001,4.89729E-001,2.93255E-001,4.89729E-001,1.64509E-001,4.89729E-001,7.15256E-003,4.89729E-001,-4.69685E-001,4.89729E-001,-5.65052E-001,4.10744E-001,-9.46522E-001
51,4.60000E+000,1.81356E+000,4.60000E+000,1.97716E+000,4.60000E+000,2.01333E+000,4.89494E-001,-2.62260E-002,4.89494E-001,2.50340E-001,4.89494E-001,2.74181E-001,4.89494E-001,2.83718E-001,4.89494E-001,1.78814E-001,4.89494E-001,-6.91414E-002,4.89494E-001,-5.60284E-001,4.89494E-001,-5.69820E-001,4.08712E-001,-9.56059E-001
52,4.70000E+000,1.81708E+000,4.70000E+000,1.97942E+000,4.70000E+000,2.01411E+000,4.89260E-001,-3.09944E-002,4.89260E-001,2.55108E-001,4.89260E-001,2.88486E-001,4.89260E-001,2.83718E-001,4.89260E-001,1.74046E-001,4.89260E-001,-7.15256E-003,4.89260E-001,-5.98431E-001,4.89260E-001,-5.40018E-001,4.06759E-001,-9.70364E-001
53,4.80000E+000,1.82059E+000,4.80000E+000,1.98161E+000,4.80000E+000,2.01489E+000,4.89025E-001,-4.05312E-002,4.89025E-001,2.64645E-001,4.89025E-001,2.74181E-001,4.89025E-001,2.88486E-001,4.89025E-001,1.66893E-001,4.89025E-001,-2.38419E-003,4.89025E-001,-5.50747E-001,4.89025E-001,-5.12600E-001,4.04806E-001,-9.65595E-001
54,4.90000E+000,1.82419E+000,4.90000E+000,1.98356E+000,4.90000E+000,2.01559E+000,4.88791E-001,-4.05312E-002,4.88791E-001,2.69413E-001,4.88791E-001,2.78950E-001,4.88791E-001,2.93255E-001,4.88791E-001,1.54972E-001,4.88791E-001,-2.38419E-003,4.88791E-001,-5.22137E-001,4.88791E-001,-5.12600E-001,4.02775E-001,-9.56059E-001
55,5.00000E+000,1.82770E+000,5.00000E+000,1.98544E+000,5.00000E+000,2.01630E+000,4.88557E-001,-4.05312E-002,4.88557E-001,2.59876E-001,4.88557E-001,2.78950E-001,4.88557E-001,2.83718E-001,4.88557E-001,1.59740E-001,4.88557E-001,-2.14577E-002,4.88557E-001,-5.65052E-001,4.88557E-001,-5.45979E-001,4.00822E-001,-9.75132E-001
56,5.10000E+000,1.83130E+000,5.10000E+000,1.98716E+000,5.10000E+000,2.01700E+000,4.88322E-001,-3.09944E-002,4.88322E-001,2.50340E-001,4.88322E-001,2.74181E-001,4.88322E-001,2.64645E-001,4.88322E-001,1.93119E-001,4.88322E-001,-4.05312E-002,4.88322E-001,-5.55515E-001,4.88322E-001,-5.79357E-001,3.98790E-001,-9.70364E-001
57,5.20000E+000,1.83497E+000,5.20000E+000,1.98887E+000,5.20000E+000,2.01762E+000,4.88088E-001,-2.62260E-002,4.88088E-001,2.45571E-001,4.88088E-001,2.88486E-001,4.88088E-001,2.64645E-001,4.88088E-001,1.83582E-001,4.88088E-001,-3.57628E-002,4.88088E-001,-5.55515E-001,4.88088E-001,-6.07967E-001,3.96837E-001,-9.89437E-001
58,5.30000E+000,1.83872E+000,5.30000E+000,1.99036E+000,5.30000E+000,2.01817E+000,4.87853E-001,-2.62260E-002,4.87853E-001,2.45571E-001,4.87853E-001,2.69413E-001,4.87853E-001,2.69413E-001,4.87853E-001,1.72853E-001,4.87853E-001,-2.62260E-002,4.87853E-001,-4.98295E-001,4.87853E-001,-5.17368E-001,3.94884E-001,-1.00374E+000
59,5.40000E+000,1.84247E+000,5.40000E+000,1.99184E+000,5.40000E+000,2.01880E+000,4.87619E-001,-3.09944E-002,4.87619E-001,2.45571E-001,4.87619E-001,2.83718E-001,4.87619E-001,2.78950E-001,4.87619E-001,1.59740E-001,4.87619E-001,-5.00679E-002,4.87619E-001,-6.65188E-001,4.87619E-001,-5.60284E-001,3.92853E-001,-1.00851E+000
60,5.50000E+000,1.84630E+000,5.50000E+000,1.99317E+000,5.50000E+000,2.01927E+000,4.87385E-001,-4.05312E-002,4.87385E-001,2.51532E-001,4.87385E-001,2.69413E-001,4.87385E-001,2.69413E-001,4.87385E-001,1.54972E-001,4.87385E-001,-2.62260E-002,4.87385E-001,-5.12600E-001,4.87385E-001,-5.79357E-001,3.90900E-001,-1.02282E+000
61,5.60000E+000,1.85020E+000,5.60000E+000,1.99450E+000,5.60000E+000,2.01981E+000,4.87150E-001,-4.05312E-002,4.87150E-001,2.59876E-001,4.87150E-001,2.74181E-001,4.87150E-001,2.59876E-001,4.87150E-001,1.59740E-001,4.87150E-001,-4.05312E-002,4.87150E-001,-5.55515E-001,4.87150E-001,-5.79357E-001,3.88947E-001,-1.00374E+000
62,5.70000E+000,1.85419E+000,5.70000E+000,1.99575E+000,5.70000E+000,2.02036E+000,4.86916E-001,-3.57628E-002,4.86916E-001,2.55108E-001,4.86916E-001,2.74181E-001,4.86916E-001,2.78950E-001,4.86916E-001,1.69277E-001,4.86916E-001,-4.05312E-002,4.86916E-001,-5.07832E-001,4.86916E-001,-6.07967E-001,3.86915E-001,-1.01328E+000
63,5.80000E+000,1.85825E+000,5.80000E+000,1.99692E+000,5.80000E+000,2.02083E+000,4.86682E-001,-3.09944E-002,4.86682E-001,2.45571E-001,4.86682E-001,2.64645E-001,4.86682E-001,2.69413E-001,4.86682E-001,1.54972E-001,4.86682E-001,-4.05312E-002,4.86682E-001,-6.89030E-001,4.86682E-001,-6.27041E-001,3.84962E-001,-1.03235E+000
64,5.90000E+000,1.86239E+000,5.90000E+000,1.99809E+000,5.90000E+000,2.02130E+000,4.86526E-001,-2.62260E-002,4.86526E-001,2.40803E-001,4.86526E-001,2.88486E-001,4.86526E-001,2.64645E-001,4.86526E-001,1.74046E-001,4.86526E-001,-6.43730E-002,4.86526E-001,-5.50747E-001,4.86526E-001,-5.45979E-001,3.82931E-001,-1.03235E+000
65,6.00000E+000,1.86661E+000,6.00000E+000,1.99919E+000,6.00000E+000,2.02177E+000,4.86291E-001,-3.09944E-002,4.86291E-001,2.40803E-001,4.86291E-001,2.64645E-001,4.86291E-001,2.64645E-001,4.86291E-001,1.69277E-001,4.86291E-001,-1.66893E-002,4.86291E-001,-5.79357E-001,4.86291E-001,-5.88894E-001,3.80978E-001,-1.05143E+000
66,6.10000E+000,1.87098E+000,6.10000E+000,2.00012E+000,6.10000E+000,2.02216E+000,4.86056E-001,-3.09944E-002,4.86056E-001,2.40803E-001,4.86056E-001,2.78950E-001,4.86056E-001,2.64645E-001,4.86056E-001,1.83582E-001,4.86056E-001,-4.05312E-002,4.86056E-001,-5.84126E-001,4.86056E-001,-6.17504E-001,3.79025E-001,-1.04666E+000
67,6.20000E+000,1.87528E+000,6.20000E+000,2.00114E+000,6.20000E+000,2.02255E+000,4.85822E-001,-4.05312E-002,4.85822E-001,2.55108E-001,4.85822E-001,2.55108E-001,4.85822E-001,2.78950E-001,4.85822E-001,1.68085E-001,4.85822E-001,-6.43730E-002,4.85822E-001,-5.79357E-001,4.85822E-001,-5.98431E-001,3.76994E-001,-1.05500E+000
68,6.30000E+000,1.87981E+000,6.30000E+000,2.00208E+000,6.30000E+000,2.02294E+000,4.85588E-001,-4.05312E-002,4.85588E-001,2.55108E-001,4.85588E-001,2.69413E-001,4.85588E-001,2.69413E-001,4.85588E-001,1.59740E-001,4.85588E-001,-1.19209E-002,4.85588E-001,-5.74589E-001,4.85588E-001,-6.24657E-001,3.75040E-001,-1.06096E+000
69,6.40000E+000,1.88426E+000,6.40000E+000,2.00294E+000,6.40000E+000,2.02341E+000,4.85353E-001,-4.05312E-002,4.85353E-001,2.45571E-001,4.85353E-001,2.64645E-001,4.85353E-001,2.55108E-001,4.85353E-001,1.59740E-001,4.85353E-001,-2.14577E-002,4.85353E-001,-5.45979E-001,4.85353E-001,-6.41346E-001,3.73010E-001,-1.06096E+000
70,6.50000E+000,1.88880E+000,6.50000E+000,2.00380E+000,6.50000E+000,2.02372E+000,4.85119E-001,-3.09944E-002,4.85119E-001,2.40803E-001,4.85119E-001,2.64645E-001,4.85119E-001,2.55108E-001,4.85119E-001,1.35899E-001,4.85119E-001,-3.57628E-002,4.85119E-001,-5.69820E-001,4.85119E-001,-6.41346E-001,3.71057E-001,-1.06573E+000
