scan_number, cell_name, time
1047097, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 02:59:59.011000
1047103, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 03:04:20.680000
1047109, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 03:08:42.622000
1047115, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 03:13:04.526000
1047121, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 03:17:27.373000
1047127, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 03:21:49.610000
1047133, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 03:26:12.587000
1047139, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 03:30:34.968000
1047145, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 03:34:56.983000
1047151, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 03:39:18.675000
1047157, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 03:43:40.474000
1047163, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 03:48:03.120000
1047169, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 03:52:24.671000
1047175, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 03:56:47.389000
1047181, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 04:01:09.632000
1047187, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 04:05:32.986000
1047193, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 04:09:56.684000
1047199, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 04:14:19.400000
1047205, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 04:18:43.465000
1047211, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 04:23:06.345000
1047217, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 04:27:28.291000
1047223, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 04:31:49.460000
1047229, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 04:36:12.387000
1047235, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 04:40:35.416000
1047241, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 04:44:59.233000
1047247, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 04:49:22.728000
1047253, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 04:53:44.661000
1047259, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 04:58:06.751000
1047265, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 05:02:29.687000
1047271, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 05:06:52.462000
1047277, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 05:11:14.667000
1047283, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 05:15:36.683000
1047289, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 05:19:58.712000
1047295, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 05:24:22.167000
1047301, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 05:28:44.495000
1047307, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 05:33:06.691000
1047313, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 05:37:28.707000
1047319, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 05:41:49.983000
