Sourcefile	20221128 134958 TGA MS Megan.qmp
Exporttime	28/11/2022 15:24:02

Start Time	28/11/2022 13:51:12
End Time	28/11/2022 15:21:44

		14			16			Water			Nitrogen/Carbonmonoxide			Oxygen			Argon			Carbondioxide	
Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	
28/11/2022 13:53:11	119.582	1.059165e-011	28/11/2022 13:53:11	119.795	9.157553e-012	28/11/2022 13:53:12	120.013	1.132901e-013	28/11/2022 13:53:13	121.055	3.258563e-013	28/11/2022 13:53:14	122.095	1.583718e-013	28/11/2022 13:53:14	122.314	4.961949e-014	28/11/2022 13:53:15	123.356	4.417394e-014
28/11/2022 13:53:15	123.569	1.063995e-011	28/11/2022 13:53:15	123.782	8.507547e-012	28/11/2022 13:53:16	123.999	7.683154e-014	28/11/2022 13:53:17	125.038	3.454770e-013	28/11/2022 13:53:18	126.081	1.538593e-013	28/11/2022 13:53:18	126.294	3.709840e-014	28/11/2022 13:53:19	127.334	3.796364e-014
28/11/2022 13:53:19	127.547	1.063170e-011	28/11/2022 13:53:19	127.761	9.046076e-012	28/11/2022 13:53:20	127.979	9.907132e-014	28/11/2022 13:53:21	129.020	3.159669e-013	28/11/2022 13:53:22	130.059	1.804642e-013	28/11/2022 13:53:22	130.273	5.339874e-014	28/11/2022 13:53:23	131.315	3.577800e-014
28/11/2022 13:53:23	131.528	1.089002e-011	28/11/2022 13:53:23	131.740	8.653242e-012	28/11/2022 13:53:24	131.957	9.234429e-014	28/11/2022 13:53:25	132.998	3.439687e-013	28/11/2022 13:53:26	134.038	1.557002e-013	28/11/2022 13:53:26	134.257	3.567457e-014	28/11/2022 13:53:27	135.298	3.327603e-014
28/11/2022 13:53:27	135.511	1.041263e-011	28/11/2022 13:53:27	135.725	8.653232e-012	28/11/2022 13:53:28	135.944	7.467698e-014	28/11/2022 13:53:29	136.983	3.417198e-013	28/11/2022 13:53:30	138.022	1.646195e-013	28/11/2022 13:53:30	138.235	4.709347e-014	28/11/2022 13:53:31	139.276	3.747297e-014
28/11/2022 13:53:31	139.489	1.070466e-011	28/11/2022 13:53:31	139.702	8.681346e-012	28/11/2022 13:53:32	139.922	8.787880e-014	28/11/2022 13:53:33	140.962	3.278174e-013	28/11/2022 13:53:34	142.002	1.566092e-013	28/11/2022 13:53:34	142.223	4.774789e-014	28/11/2022 13:53:35	143.264	4.210147e-014
28/11/2022 13:53:35	143.478	1.078450e-011	28/11/2022 13:53:35	143.691	8.875770e-012	28/11/2022 13:53:36	143.904	1.041989e-013	28/11/2022 13:53:37	144.944	3.404058e-013	28/11/2022 13:53:38	145.986	1.729758e-013	28/11/2022 13:53:38	146.200	5.164312e-014	28/11/2022 13:53:39	147.239	4.105641e-014
28/11/2022 13:53:39	147.452	1.048025e-011	28/11/2022 13:53:39	147.666	8.957521e-012	28/11/2022 13:53:40	147.883	8.039598e-014	28/11/2022 13:53:41	148.924	3.299733e-013	28/11/2022 13:53:42	149.965	1.512373e-013	28/11/2022 13:53:42	150.178	4.172172e-014	28/11/2022 13:53:43	151.220	3.829620e-014
28/11/2022 13:53:43	151.433	1.067092e-011	28/11/2022 13:53:43	151.646	8.892408e-012	28/11/2022 13:53:44	151.867	9.621252e-014	28/11/2022 13:53:45	152.907	3.321642e-013	28/11/2022 13:53:46	153.950	1.594330e-013	28/11/2022 13:53:46	154.163	7.170227e-014	28/11/2022 13:53:47	155.204	4.274016e-014
28/11/2022 13:53:47	155.417	1.094172e-011	28/11/2022 13:53:47	155.631	8.875863e-012	28/11/2022 13:53:47	155.844	7.529454e-014	28/11/2022 13:53:49	156.887	3.251691e-013	28/11/2022 13:53:50	157.925	1.693117e-013	28/11/2022 13:53:50	158.138	5.553645e-014	28/11/2022 13:53:51	159.178	3.912589e-014
